run,regime,seed,scorer,lambda,Q,C,frac_strong,fallback_frac
first_run,L1,102004,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102004,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102004,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102004,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102005,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102005,drl_pi,0,0.641814,0.00152242,0.78074,0.0
first_run,L1,102005,drl_pi,10,0.639096,0.00144759,0.77208,0.0
first_run,L1,102005,drl_pi,25,0.638077,0.00139819,0.76885,0.0
first_run,L1,102005,drl_pi,50,0.636719,0.00136135,0.76613,0.0
first_run,L1,102005,drl_pi,100,0.622113,0.00124749,0.74083,0.0
first_run,L1,102005,drl_pi,150,0.604959,0.00115673,0.70958,0.0
first_run,L1,102005,drl_pi,200,0.57286,0.00100507,0.6498,0.0
first_run,L1,102005,drl_pi,300,0.455503,0.00051301,0.44599,0.0
first_run,L1,102005,drl_pi,500,0.38553,0.00032866,0.31624,0.0
first_run,L1,102005,t_learner,0,0.642493,0.00156868,0.79229,0.0
first_run,L1,102005,t_learner,10,0.642493,0.00153426,0.78719,0.0
first_run,L1,102005,t_learner,25,0.640285,0.00142141,0.77819,0.0
first_run,L1,102005,t_learner,50,0.63519,0.00129024,0.76121,0.0
first_run,L1,102005,t_learner,100,0.629586,0.00121591,0.74575,0.0
first_run,L1,102005,t_learner,150,0.621264,0.00113995,0.72266,0.0
first_run,L1,102005,t_learner,200,0.598336,0.00100656,0.67374,0.0
first_run,L1,102005,t_learner,300,0.488111,0.00054423,0.48421,0.0
first_run,L1,102005,t_learner,500,0.403702,0.00033034,0.32354,0.0
first_run,L1,102005,direct_baseline,0,0.640965,0.00329386,0.99219,0.0
first_run,L1,102005,direct_baseline,10,0.638417,0.00320314,0.9859,0.0
first_run,L1,102005,direct_baseline,25,0.628397,0.00283631,0.9499,0.0
first_run,L1,102005,direct_baseline,50,0.619226,0.00128327,0.7517,0.0
first_run,L1,102005,direct_baseline,100,0.465353,0.00049858,0.44039,0.0
first_run,L1,102005,direct_baseline,150,0.378397,0.00030076,0.26664,0.0
first_run,L1,102005,direct_baseline,200,0.293648,0.00015507,0.11413,0.0
first_run,L1,102005,direct_baseline,300,0.223845,4.986e-05,0.0051,0.0
first_run,L1,102005,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
